---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
RR       	    18	          0.06	           16.778	    16.725	   0.999	       297.037	   0.01
RR       	    19	          0.06	           35.377	    16.861	     1.0	       670.031	   0.01
RR       	    20	          0.06	           48.459	    16.802	     1.0	       960.319	   0.01
RR       	    21	          0.06	           67.917	    16.641	     1.0	      1450.386	   0.01
RR       	    22	          0.06	           79.379	    16.616	     1.0	      1774.475	   0.01
RR       	    23	          0.06	            85.54	    16.662	     1.0	      1985.601	   0.01
RR       	    24	          0.06	           92.834	    16.576	     1.0	      2229.084	   0.01
RR       	    25	          0.06	          105.027	    16.419	     1.0	       2635.43	   0.01
RR       	    26	          0.06	          108.559	    16.663	     1.0	      2831.858	   0.01
RR       	    27	          0.06	          123.218	    16.512	     1.0	      3358.905	   0.01
RR       	    28	          0.06	          134.492	    16.219	     1.0	      3826.898	   0.01
RR       	    29	          0.06	          122.215	    16.919	     1.0	      3560.243	   0.01
RR       	    30	          0.06	          127.165	    16.858	     1.0	      3809.352	   0.01
---------	------	--------------	-----------------	----------	--------	--------------	-------
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum
---------	------	--------------	-----------------	----------	--------	--------------	-------
RR       	     1	          0.06	            0.067	     0.988	   0.059	         0.069	    0.2
RR       	     2	          0.06	            0.072	     1.957	   0.118	         0.145	    0.2
RR       	     3	          0.06	            0.079	     2.985	   0.179	         0.227	    0.2
RR       	     4	          0.06	            0.089	     4.062	   0.246	         0.361	    0.2
RR       	     5	          0.06	            0.096	      5.05	   0.304	         0.474	    0.2
RR       	     6	          0.06	            0.103	     5.987	   0.357	         0.618	    0.2
RR       	     7	          0.06	            0.116	     6.796	   0.405	         0.808	    0.2
RR       	     8	          0.06	            0.131	     8.019	   0.487	         1.057	    0.2
RR       	     9	          0.06	            0.157	     8.882	   0.552	         1.408	    0.2
RR       	    10	          0.06	            0.168	    10.158	   0.614	          1.69	    0.2
RR       	    11	          0.06	            0.196	     11.13	   0.663	         2.181	    0.2
RR       	    12	          0.06	            0.237	    11.974	   0.719	         2.804	    0.2
RR       	    13	          0.06	            0.264	    12.712	   0.767	         3.328	    0.2
RR       	    14	          0.06	            0.379	    13.973	   0.839	           5.3	    0.2
RR       	    15	          0.06	            0.562	     14.99	   0.889	         8.541	    0.2
RR       	    16	          0.06	            1.253	    16.153	   0.964	        20.205	    0.2
RR       	    17	          0.06	            5.687	    16.702	     1.0	        95.114	    0.2
RR       	    18	          0.06	           19.742	    16.639	     1.0	       351.758	    0.2
RR       	    19	          0.06	           40.352	    16.867	   1.002	       770.158	    0.2
RR       	    20	          0.06	           46.397	    16.734	     1.0	        919.94	    0.2
RR       	    21	          0.06	            62.76	    16.812	   0.996	      1315.759	    0.2
RR       	    22	          0.06	           70.711	    16.924	     1.0	      1539.693	    0.2
RR       	    23	          0.06	           81.613	    16.583	     1.0	      1866.394	    0.2
RR       	    24	          0.06	           87.543	    16.747	   1.003	      2066.507	    0.2
RR       	    25	          0.06	           99.388	     16.83	   0.999	      2511.122	    0.2
RR       	    26	          0.06	          104.434	    16.929	   0.999	      2704.131	    0.2
RR       	    27	          0.06	          108.355	     16.89	   1.003	       2940.68	    0.2
RR       	    28	          0.06	           121.52	    16.727	   0.999	      3412.383	    0.2
RR       	    29	          0.06	          129.105	    16.698	   1.001	      3762.992	    0.2
RR       	    30	          0.06	          138.268	    16.488	     1.0	      4171.529	    0.2
---------	------	--------------	-----------------	----------	--------	--------------	-------
